指标名称,MACD金叉,26/55均线金叉,组合_MACD+均线多头,海龟交易法
回测周期_天,311.0,311.0,311.0,311.0
起始资金,100000.0,100000.0,100000.0,100000.0
最终资金,93162.51,116719.9,91740.79,101538.21
总收益率_%,-6.84,16.72,-8.26,1.54
基准回报率_%,-16.47,-16.47,-16.47,-16.47
最大总敞口_%,100.0,100.0,100.0,100.0
总费用,2292.85,460.04,916.07,419.52
最大回撤_%,16.59,14.01,15.67,15.62
最大回撤持续时间_天,159.0,150.0,278.0,150.0
总交易次数,12.0,2.0,5.0,2.0
已平仓交易总次数,12.0,2.0,5.0,2.0
胜率_%,41.67,50.0,20.0,50.0
最佳交易_%,9.96,21.67,9.96,9.0
最差交易_%,-8.49,-4.06,-6.01,-6.84
平均盈利收益率_%,4.69,21.67,9.96,9.0
平均亏损收益率_%,-4.14,-4.06,-4.42,-6.84
平均获胜交易持续时间_天,5.0,91.0,5.0,51.0
平均亏损交易持续时间_天,5.0,15.0,5.0,10.0
利润因子,0.76,4.39,0.51,1.21
期望值,-569.79,8359.95,-1651.84,769.1
夏普比率,-0.28,0.84,-0.63,0.19
卡尔玛比率,-0.48,1.42,-0.61,0.12
欧米茄比率,0.91,1.24,0.69,1.06
索提诺比率,-0.48,1.54,-1.09,0.32
